idx,en,vn,word_type,word_type_vn
60,ascaris,giun đũa,n,danh từ
61,Ascaris,giun đũa (loài),n,danh từ
62,ascending,lên,a,tính từ
63,ascertainment,"giả định , tìm chọn  (DTH) ",n,danh từ
64,asceticism,khổ hạnh (chủ nghĩa ),n,danh từ
65,ascitogenous,sinh cổ trướng,a,tính từ
66,Asclepias,bông tai (cây),n,danh từ
67,asco-,"nang, túi",pref.,tiền tố
68,ascobemia,axit ascobic-huyết,n,danh từ
69,ascoburia,axit ascobic-niệu,n,danh từ
70,ascocarp,thể quả túi; thể quả bào tử,n,danh từ
71,ascogonium,"thể sinh túi, thể sinh nang",n,danh từ
72,ascomycete,nấm túi,n,danh từ
73,Ascomycetes,"Ascomycetes, Nấm túi (lớp)",n,danh từ
74,ascorbemia,acid ascorbic-huyết,n,danh từ
75,ascorburia,acid ascorbic-niệu,n,danh từ
76,ascospore,"bào tử túi, bào tử nang",n,danh từ
77,ascus,"túi, nang",n,danh từ
78,ase,-ase (enzym),suff.,hậu tố
79,asecretory,không tiết,a,tính từ
80,asepsis,"vô khuẩn, khử khuẩn",n,danh từ
81,aseptic,vô khuẩn,a,tính từ
82,asepticism,vô khuẩn ngoại khoa (nguyên lý),n,danh từ
83,asexual,vô tính,a,tính từ
84,asexuality,vô tính (tính chất) (không phân biệt đực cái),n,danh từ
85,asexualization,tuyệt sinh,n,danh từ
86,asialia,kiệt nước bọt,n,danh từ
87,asiderosis,giảm dự trữ sắt,n,danh từ
88,Asimina,Na (họ),n,danh từ
89,asis,"trạng thái, tình huống bệnh",suff.,hậu tố
90,asitia,chán ăn,n,danh từ
91,asoma,không thân thể (dị tật),n,danh từ
92,asomatognosia,mất nhận thức thân thể,n,danh từ
93,asomatophyte,thực vật không thân,n,danh từ
94,aspalasoma,hình chuột chũi (dị tật),n,danh từ
95,asparaginase,asparaginase,n,danh từ
96,asparagine,asparagin,n,danh từ
97,aspartase,aspatase,n,danh từ
98,aspartate,aspartat,n,danh từ
99,aspartic acid,acid aspartic,n,danh từ
100,aspecific,không đặc hiệu,a,tính từ
101,aspergilloma,u nấm Aspergillus,n,danh từ
102,Aspergillus,"nấm quạt, nấm cúc, Aspergillus",n,danh từ
103,aspermatism,thiếu tinh dịch; khó xuất tinh,n,danh từ
104,aspermatogenesis,thiếu phát triển tinh trùng,n,danh từ
105,aspermia,thiếu tinh dịch,n,danh từ
106,asphygmia,vô mạch,n,danh từ
107,asphyxiant,gây ngạt thở (chất),n,danh từ
108,asphyxiate,gây ngạt thở,v,động từ
109,asphyxiation,gây ngạt thở .,n,danh từ
110,Aspidium,"rau khuyết , Aspidium",n,danh từ
111,aspiration,hút,n,danh từ
112,aspirator,máy hút,n,danh từ
113,aspirin,aspirin,n,danh từ
114,asporous,không có bào tử,a,tính từ
115,assanation,cải thiện môi trường,n,danh từ
116,assay,"định lượng, xác đinh, xét nghiệm",n,danh từ
117,assessment,đánh giá,n,danh từ
118,assident,đi kèm với bệnh,a,tính từ
119,assimilable,"đồng hóa được, tiêu hóa được",a,tính từ
120,assimilation,đồng hóa,n,danh từ
121,assistant,trợ lý,n,danh từ
122,association,"liên kết, liên hơp, phối hợp ",n,danh từ
123,associationism,liên tưởng (thuyết ),n,danh từ
124,assonance,lắp âm,n,danh từ
125,assortment,"phân loại , phân bố  (nhiễm sắc thể trong phân bào); chọn lựa cùng loại  (giao phối)",n,danh từ
126,astenospermia,suy nhược tinh trùng,n,danh từ
127,aster,thể sao,n,danh từ
128,asterion,thóp sao,n,danh từ
129,asterixis,"loạn giữ tư thế, run chập chờn",n,danh từ
130,asternal,"không nối với xương ức, không có xương ức",a,tính từ
131,asternia,không có xương ức (dị tật),n,danh từ
132,asteroid,hình sao,a,tính từ
133,asthenobiosis,đình sinh hoạt  (như ngủ đông),n,danh từ
134,asthenocoria,suy nhược mống mắt,n,danh từ
135,asthenometer,nhược cơ kế,n,danh từ
136,asthenope,mỏi mắt (người),n,danh từ
137,asthenospermia,suy nhược tinh trùng,n,danh từ
138,asthenoxia,không đủ sức oxy hóa,n,danh từ
139,asthma,hen,n,danh từ
140,asthmatic,hen ; hen (người),"n,a","danh từ, tính từ"
141,asthmatiform,dạng hen,a,tính từ
142,asthmogenic,gây hen; gây hen (chất),a,tính từ
143,astigmagraph,loạn thị ký (máy đo),n,danh từ
144,astigmatometer,loạn thị kế,n,danh từ
145,astigmatometry,đo loạn thị,n,danh từ
146,astigmatoscope,loạn thị kế,n,danh từ
147,astigmatoscopy,kiểm tra loạn thị,n,danh từ
148,astomatous,"không có miệng,  không lỗ thở (như một số tiên mao trùng)",a,tính từ
149,astomia,không có miệng (dị tật),n,danh từ
150,astomus,không có miệng (dị tật),n,danh từ
151,astragalar,xương sên,a,tính từ
152,astragalectomy,cắt bỏ xương sên,n,danh từ
153,astragalocalcanean,xương sên-gót,a,tính từ
154,astragalocrural,xương sên-cẳng chân,a,tính từ
155,astragaloscaphoid,xương sên-thuyền,a,tính từ
156,astragalotibial,xương sên-chày,a,tính từ
157,Astragalus,đậu ván dại (cây),n,danh từ
158,astral,sao,a,tính từ
159,astriction,làm săn,n,danh từ
160,astringe,làm săn,v,động từ
161,astringent,"làm săn, làm se (chất)","n,a","danh từ, tính từ"
162,astro-,"sao, hình sao",pref.,tiền tố
163,astroblast,nguyên bào hình sao,n,danh từ
164,astroblastoma,u nguyên bào hình sao,n,danh từ
165,astrocyte,tế bào hình sao,n,danh từ
166,astrocytoma,u tế bào hình sao,n,danh từ
167,astrocytosis,tăng sinh tế bào hình sao,n,danh từ
168,astroglia,thần kinh đệm tế bào hình sao,n,danh từ
169,astrokinetic,chuyển động trung thể,a,tính từ
170,astrophorous,tia hình sao (có),a,tính từ
171,astropyle,lỗ hình sao (ở nguyên sinh động vật),n,danh từ
172,astrostatic,tĩnh trạng của tâm động,a,tính từ
173,astrovirus,astrovirus (virut thể sao),n,danh từ
174,asulfurosis,thiếu lưu huỳnh,n,danh từ
175,asyllabia,mất tạo âm tiết,n,danh từ
176,asylum,"dưỡng trí viện, nhà cứu tế",n,danh từ
177,asymphytous,"phân ly, riệng biệt",a,tính từ
178,asymptomatic,vô triệu chứng,a,tính từ
179,asynapsis,"không gióng đôi , không tiếp hợp  (nhiễm sắc thể)",n,danh từ
180,asyndesis,loạn kết hợp ngôn từ,n,danh từ
181,asynechia,gián đoạn cấu trúc,n,danh từ
182,asynovia,không tiết hoạt dịch,n,danh từ
183,asyntaxia,phát triển phôi thai bất toàn,n,danh từ
184,atactic,mất điều hòa,a,tính từ
185,atactiform,dạng mất điều hòa,a,tính từ
186,ataractic,"bình thản, thanh tịnh, an thần (thuốc)
","n,a","danh từ, tính từ"
187,ataralgesia,an thần giảm đau (thuốc),n,danh từ
188,ataxia,"mất điều hòa , thất điều vận động, thất phối",n,danh từ
189,ataxiagram,mất điều hòa đồ,n,danh từ
190,ataxiagraph,mất điều hòa ký,n,danh từ
191,ataxiameter,mất điều hòa kế,n,danh từ
192,ataxiaphasia,mất ngữ cú pháp,n,danh từ
193,atelencephalia,kém phát triển não,n,danh từ
194,atelocardia,kém phát triển tim,n,danh từ
195,atelocephalous,đầu bất toàn (có),a,tính từ
196,atelocephaly,kém phá triển sọ,n,danh từ
197,atelocheilia,kém phá triển môi,n,danh từ
198,atelocheiria,kém phá triển bàn tay,n,danh từ
199,ateloglossia,kém phá triển lưỡi,n,danh từ
200,atelognathia,kém phá triển hàm,n,danh từ
201,atelomyelia,kém phá triển tủy sống,n,danh từ
202,atelopodia,kém phá triển bàn chân,n,danh từ
203,ateloprosopia,kém phá triển mặt,n,danh từ
204,atelorachidia,kém phá triển cột sống,n,danh từ
205,atelostomia,kém phá triển miệng,n,danh từ
206,athelia,thiếu núm vú (dị tật),n,danh từ
207,atherectomy,cắt bỏ mảng xơ vữa động mạch,n,danh từ
208,athermic,không sốt,a,tính từ
209,athermobiosis,đời sống thiếu nhiệt,n,danh từ
210,athermosystaltic,không co do nhiệt độ,a,tính từ
211,atheroembolism,nghẽn mạch do vật nghẽn,n,danh từ
212,atheroembolus,vật nghẽn (tiểu) động mạch,n,danh từ
213,atherogenesis,hình thành vữa động mạch,n,danh từ
214,atherogenic,gây vữa động mạch,a,tính từ
215,atheromatosis,vữa động mạch,n,danh từ
216,atherosclerosis,xơ vữa động mạch,n,danh từ
217,athetoid,dạng múa vờn,a,tính từ
219,athrocytosis,khả năng hút thải chọn lọc của tế bào,n,danh từ
220,athrophagocytosis,thực bào phi dinh dưỡng,n,danh từ
222,athyrea,giảm năng tuyến giáp,n,danh từ
223,athyroidemia,thiếu thyroxin-huyết,n,danh từ
224,atlantad,hướng đốt đội,ad,ad
225,atlantal,đốt đội,a,tính từ
226,atlantoaxial,đốt đội-trục,a,tính từ
227,atlantodidymus,quái thai hai đầu,n,danh từ
228,atlantomastoid,đốt đội-mỏm chũm,a,tính từ
229,atlanto-odontoid,đốt đội-mỏm răng đốt đội,a,tính từ
230,atlas,đốt đội,n,danh từ
231,atloaxoid,đốt đội-trục,a,tính từ
232,atloido-occipital,đốt đội-chẩm,a,tính từ
233,atmiatrics,liệu pháp xông,n,danh từ
234,atmograph,hô hấp ký,n,danh từ
235,atmometer,"khí hóa kế, bốc hơi kế",n,danh từ
236,atocia,vô sinh (nữ),n,danh từ
237,atomicity,"hóa trị, số nguyên tử (trong phân tử)",n,danh từ
238,atomization,phun mù,n,danh từ
239,atomizer,phun mù (dụng cụ ),n,danh từ
240,atonic,mất trương lực,a,tính từ
241,atonicity,mất trương lực,n,danh từ
242,atopen,dị ứng nguyên,n,danh từ
243,atopy,tạng dị ứng,n,danh từ
244,atoxic,mất độc tính,a,tính từ
245,atoxigenic,không sinh độc tố,n,danh từ
246,atransferrinemia,thiếu transferrin-huyết,n,danh từ
247,atraumatic,không gây chấn thương,a,tính từ
248,atremia,mất đi  (do hysteri),n,danh từ
249,atretoblepharia,liền mí (tật ),n,danh từ
250,atretocephalus,tịt lỗ não (dị tật),n,danh từ
251,atretocormus,tịt lỗ thân thể (dị tật),n,danh từ
252,atretocystia,tịt bàng quang,n,danh từ
253,atretogastria,tịt dạ dày,n,danh từ
254,atretolemia,tịt thanh quản,n,danh từ
255,atretometria,tịt tử cung,n,danh từ
256,atretopsia,tịt mống mắt,n,danh từ
257,atretostomia,tịt miệng,n,danh từ
258,atreturethria,tịt niệu đạo,n,danh từ
259,atria,tâm nhĩ,n,danh từ
260,atrichosis,hói,n,danh từ
261,atriocommissuropexy,cố định mép van tâm nhĩ,n,danh từ
262,atriohisian,nối tâm nhĩ với bó His,n,danh từ
263,atriomegaly,phì đại tâm nhĩ,n,danh từ
264,atrionector,"nút xoang-nhĩ, nút Keith Flack ",n,danh từ
265,atriopeptin,atriopeptin,n,danh từ
266,atrioseptopexy,cố định vách tâm nhĩ,n,danh từ
267,atrioseptoplasty,tạo hình vách tâm nhĩ,n,danh từ
268,atriotomy,rạch tâm nhĩ,n,danh từ
269,atrioventricular,tâm nhĩ-thất,a,tính từ
270,atriplicism,ngộ độc rau lê (Atriplex littoralis),n,danh từ
271,Atropa,Atropa (cây),n,danh từ
272,atrophedema,"phù mạch thần kinh, phù Quincke",n,danh từ
273,atrophied,teo (bị),a,tính từ
274,atrophodermatosis,teo da,n,danh từ
275,atrophy,teo,n,danh từ
276,atropine,atropin,n,danh từ
277,atropinic,giống atropin (tác dụng ),a,tính từ
278,atropinization,"điều trị atropin, xử lý bằng atropin",n,danh từ
279,attachment,"cài, gắn ; gài (cái), mắc (cái)",n,danh từ
280,attack,cơn,n,danh từ
281,attar,tinh dầu,n,danh từ
282,attention,"chú ý , quan tâm ",n,danh từ
283,attenuant,"loãng (làm), làm loãng",n,danh từ
284,attenuate,"giảm (làm),  loãng (làm), giảm độc",v,động từ
285,attenuation," giảm (làm),  loãng (làm), giảm độc tính",n,danh từ
286,attic,"thượng nhĩ, ngăn trên hòm nhĩ",n,danh từ
287,atticitis,viêm thượng nhĩ,n,danh từ
288,attico-,thượng nhĩ,pref.,tiền tố
289,atticoantrotomy,mở thông thượng nhĩ-hang chũm,n,danh từ
290,atticomastoid,nhĩ-chũm,n,danh từ
291,atticotomy,mở thượng nhĩ,n,danh từ
292,attitude,tư thế,n,danh từ
293,attractant,hấp dẫn (chất),n,danh từ
294,attraction,"hút , hấp dẫn ",n,danh từ
295,attrition,"sây sát , dập nát , cọ mòn ",n,danh từ
296,audiclave,trợ thính (dụng cụ ),n,danh từ
297,audile,thính giác,a,tính từ
298,audimutitas,câm do nhận thức nghe (không hiểu được lời nói),n,danh từ
299,audioanalgesia,âm nhạc giảm đau (liệu pháp ),n,danh từ
300,audiogenic,do âm thanh,a,tính từ
301,audiogram,thính lực đồ,n,danh từ
302,audiologist,thính học (chuyên gia),n,danh từ
303,audiology,thính học,n,danh từ
304,audiometer,thính lực kế,n,danh từ
305,audiometrician,thính lực (chuyên viên),n,danh từ
306,audiophone,trợ thính (máy),n,danh từ
307,audition,"thính, thính giác",n,danh từ
308,auditognosis,"nhận thức âm thanh , thính giác ",n,danh từ
309,auditory,thính giác .,a,tính từ
310,augmentor,"tăng gia, tăng gia tố","n,a","danh từ, tính từ"
311,augnathus,hai hàm dưới (dị tật),n,danh từ
312,aura,tiền triệu,n,danh từ
313,aureola,quầng vú,n,danh từ
314,auri-,"nhĩ, tai",pref.,tiền tố
315,auriasis,ứ đọng chất vàng,n,danh từ
316,auric,"vàng (thuộc, chứa) ",a,tính từ
317,auricular,"nhĩ , tai ",a,tính từ
318,auriculare,điểm trên ống tai ngoài,n,danh từ
319,auriculocranial,tai-sọ,a,tính từ
320,auriculotemporal,tai-thái dương,a,tính từ
321,auriculotherapy,liệu pháp tai,n,danh từ
322,auriculoventricular,tâm nhĩ thất,a,tính từ
323,aurid,ban do vàng,n,danh từ
324,auriform,hình tai,a,tính từ
325,aurinarium,thuốc đạn tai,n,danh từ
326,aurinasal,tai-mũi,a,tính từ
327,auripigment,asen III sulfur,n,danh từ
328,auripuncture,chọc màng nhĩ,n,danh từ
329,auris,tai,n,danh từ
330,auriscope,soi tai (cái),n,danh từ
331,aurist,"khoa tai (chuyên gia), chuyên gia khoa tai",n,danh từ
332,auristics,"trị bệnh tai , khoa tai",n,danh từ
333,auro-,vàng,pref.,tiền tố
334,aurochromoderma,da nhiễm vàng,n,danh từ
335,aurotherapy,"liệu pháp vàng, kim liệu pháp",n,danh từ
336,aurum,vàng,n,danh từ
337,auscultation,thính chẩn,n,danh từ
338,auscultatory,thính chẩn,a,tính từ
339,auscultoplectrum,thính gõ chẩn (máy đo),n,danh từ
340,auscultoscope,ống nghe tăng âm,n,danh từ
341,autacoid,autacoit (chất điều hòa nội sinh),n,danh từ
342,autechoscope,tự thính chẩn (máy đo),n,danh từ
343,autecology,sinh thái học cá thể,n,danh từ
344,autemesia,"nôn chức năng, nôn tự phát",n,danh từ
345,autoaccusation,tự buộc tội,n,danh từ
346,autoactivation,tự hoạt hóa,n,danh từ
347,autoagglutination,tự ngưng kết,n,danh từ
348,autoagglutinin,tự ngưng kết tố,n,danh từ
349,autoamputation,tự rụng  (như polip),n,danh từ
350,autoanalysis,tự phân tích,n,danh từ
351,autoanamnesis,tự kể bệnh sử,n,danh từ
352,autoanaphylaxis,tự phản vệ,n,danh từ
353,autoantibody,tự kháng thể,n,danh từ
354,autoanticomplement,"tự kháng bổ thể, kháng bổ thể tự thân",n,danh từ
355,autoantigen,tự kháng nguyên,n,danh từ
356,autoantisepsis,tự khử khuẩn,n,danh từ
357,autoantitoxin,tự kháng độc tố,n,danh từ
358,autoaudible,tự nghe thấy (chỉ tiếng tim),a,tính từ
359,autobiotic,tự sinh (chất),a,tính từ
360,autobody,tự thể (một loại kháng thể),n,danh từ
361,autocatalyst,tự xúc tác (chất),n,danh từ
362,autocatharsis,tự xả trừ,n,danh từ
363,autocatheterism,tự đặt ống thông,n,danh từ
364,autocholecystectomy,tự cắt bỏ túi mật,n,danh từ
365,autochthonous,"tại chỗ, địa phương, bản địa, bản thổ ",a,tính từ
366,autoclasis,"tự hủy , tự phá hoại",n,danh từ
367,autoclave,nồi hấp,n,danh từ
368,autocrine,"tự tiết, tự tiết (chất)","n,a","danh từ, tính từ"
369,autocystoplasty,tạo hình bàng quang tự thân,n,danh từ
370,autocytotoxin,tự độc tố tế bào,n,danh từ
371,autodermic,da tự thân (trong ghép da),a,tính từ
372,autodigestion,tự tiêu,n,danh từ
373,autodrainage,tự dẫn lưu,n,danh từ
374,autoecholalia,tự lặp lời nói,n,danh từ
375,autoeczematization,eczema lan rộng,n,danh từ
376,autoerythrophagocytosis,tự thực hồng cầu  ( do bạch tế bào trung tính hoặc đơn nhân),n,danh từ
377,autofluorescence,huỳnh quang tự thân,n,danh từ
378,autofundoscope,tự soi đáy mắt (máy đo),n,danh từ
379,autofundoscopy,tự soi đáy mắt,n,danh từ
380,autogeneic,"tự thân, mảnh ghép tự thân ",a,tính từ
381,autogenous,tự thân,a,tính từ
382,autograft,mảnh ghép tự thân,n,danh từ
383,autografting,ghép tự thân,n,danh từ
384,autogram,vết hằn da,n,danh từ
385,autohemagglutination,tự ngưng kết,n,danh từ
386,autohemagglutinin,tự ngưng kết tố,n,danh từ
387,autohemolysin,tự dung huyết tố,n,danh từ
388,autohemotherapy,liệu pháp huyết tự thân,n,danh từ
389,autohemotransfusion,truyền máu tự thân,n,danh từ
390,autoheteroploid,thể dị bội đồng tính,n,danh từ
391,autoimmune,tự miễn dịch,n,danh từ
392,autoimmunity,tự miễn dịch (trạng thái),n,danh từ
393,autoimmunization,tự miễn dịch (quá trình),n,danh từ
394,autoinfection,tự nhiễm,n,danh từ
395,autoinfusion,tự dẫn huyết  (về tim),n,danh từ
396,autoinoculable,tự chủng được,a,tính từ
397,autoinoculation,tự chủng,n,danh từ
398,autointerference,"tự nhiễu, tự can thiệp  (can thiệp bằng cách sao chép virut bằng một virút nguyên vẹn, đồng chủng, giảm độc lực)",n,danh từ
399,autoisolysin,tự đồng tiêu tố,n,danh từ
400,autokeratoplasty,ghép giác mạc tự thân,n,danh từ
401,autolavage,"tự thụt rửa, tự rửa dạ dày",n,danh từ
402,autolesion,thương tích tự  gây,n,danh từ
403,autoleukoagglutinin,ngưng kết tố bạch tế bào tự thân,n,danh từ
404,autoleukocytotherapy,liệu pháp bạch tế bào tự thân,n,danh từ
405,autologous,tự thân,a,tính từ
406,autolysate,"tự tiêu (chất), tự dung (chất)",n,danh từ
407,autolysin,"tự tiêu tố, tự dung tố",n,danh từ
408,autolysosome,"thể tiêu bào tự thân, thể dung bào tự thân ",n,danh từ
409,autolyze,"tự tiêu, tự dung  ",v,động từ
410,automatic,tự  động,a,tính từ
411,automaticity," tự  động , tự  động tính",n,danh từ
412,automatism,tự  động tính,n,danh từ
413,automatograph,ghi vận động tự động (máy đo),n,danh từ
414,automixis,"tự thụ tinh, tự phối ",n,danh từ
415,automysophobia,sợ bị bẩn (ám),n,danh từ
416,autonephrectomy,tự tắc thận (do bệnh),n,danh từ
417,autonephrotoxin,độc tố thận tự thân,n,danh từ
418,autonomic,"tự động , tự chủ, tự quản ",a,tính từ
419,autonomotropic,"hướng thần kinh tự động , hướng thần kinh giao cảm",a,tính từ
420,auto-ophthalmoscope,tự soi đáy mắt (máy),n,danh từ
421,auto-ophthalmoscopy,tự soi đáy mắt,n,danh từ
422,auto-oxidation,tự oxy-hóa,n,danh từ
423,auto-oxidizable,tự oxy-hóa được,a,tính từ
424,autopathography,tự ghi chép bệnh,n,danh từ
425,autopathy,bệnh tự phát,n,danh từ
426,autophagia,"tự tiêu, tự thực, tiêu thịt tự thân",n,danh từ
427,autophagosome,thể tự tiêu bào ??,n,danh từ
428,autophagy,"tự tiêu , tự thực",n,danh từ
429,autophilia,"ái kỷ, tự yêu mê ",n,danh từ
430,autophobia,sợ đơn độc ; tự ghét mình,n,danh từ
431,autophonometry,trắc nghiệm tự cảm chấn động âm thoa,n,danh từ
432,autophony,tiếng vang tự thân,n,danh từ
433,autophyte,thực vật tự dưỡng,n,danh từ
434,autoplasmotherapy,liệu pháp huyết tương tự thân,n,danh từ
435,autoplast,miếng ghép tự thân,n,danh từ
436,autoploid,tự bội thể,n,danh từ
437,autopodium,"chân, tay, chi ",n,danh từ
438,autopoisonous,trúng độc tự thân,a,tính từ
439,autopolymer,tự trùng hợp (chất),n,danh từ
440,autopolymerization,tự trùng hợp,n,danh từ
441,autoprotection,tự phòng vệ,n,danh từ
442,autoproteolysis,"dung giải tự thân , tự dung ",n,danh từ
443,autoprothrombin,autoprothrombin,n,danh từ
444,autoprotolysis,tự di chuyển proton,n,danh từ
445,autopsy,"giải phẫu tử thi, kiểm thi",n,danh từ
446,autopsychic,tự mình cảm nhận,a,tính từ
447,autopsychosis,loạn tâm tự kỷ,n,danh từ
448,autoradiography,chụp phóng xạ tự thân,n,danh từ
449,autoreactive,phản ứng tự thân,a,tính từ
450,autoregulation,tự điều chỉnh,n,danh từ
451,autoreinfusion,tái truyền máu tự thân,n,danh từ
452,autoscopy,tự thấy mình  (ảo giác ),n,danh từ
453,autosensitization,tự mẫn cảm,n,danh từ
454,autosensitized,tự mẫn cảm,a,tính từ
455,autosepticemia,nhiễm khuẩn huyết tự thân,n,danh từ
456,autoserotherapy,liệu pháp huyết thanh tự thân,n,danh từ
457,autosmia,tự ngửi thấy mùi của mình,n,danh từ
459,autospermotoxin,độc tố tinh trùng tự thân,n,danh từ
460,autosplenectomy,xơ teo lách,n,danh từ
461,autospray,tự phun (máy đo),n,danh từ
462,autosterilization,khử khuẩn tự nhiên,n,danh từ
463,autostimulation,kích thích tự thân,n,danh từ
464,autosuggestibility,tự kỷ ám thị,n,danh từ
465,autosuggestion,tự kỷ ám thị,n,danh từ
466,autosynthesis,tự tổng hợp,n,danh từ
467,autotemnous,sinh sản tách đôi,a,tính từ
468,autotherapy,"liệu pháp tự thân , liệu pháp dịch tự thân ",n,danh từ
469,autothromboagglutinin,ngưng kết tố tiểu bản tự thân,n,danh từ
470,autotomy,tự cắt,n,danh từ
471,autotopagnosia,mất định hướng bộ phận cơ thể,n,danh từ
472,autotoxin,độc tố tự thân,n,danh từ
473,autotransfusion,truyền máu tự thân,n,danh từ
474,autotransplant,ghép tự thân (vật),n,danh từ
475,autotransplantation,ghép tự thân,n,danh từ
476,autotrepanation,khoan mòn sọ  (do u não),n,danh từ
477,autotroph,sinh vật tự dưỡng,n,danh từ
478,autotrophic,tự dưỡng,a,tính từ
479,autotrophy,tự dưỡng,n,danh từ
480,autovaccination,"tự chủng vacxin , liệu pháp tự chủng",n,danh từ
481,autovaccine,vacxin tự thân,n,danh từ
482,autovaccinia,phản ứng chủng đậu,n,danh từ
483,autoxidation,tự oxy hóa,n,danh từ
484,autozygous,tự đồng hợp tử,n,danh từ
485,auxanogram,phổ tăng trưởng,n,danh từ
486,auxesis,tăng trưởng,n,danh từ
487,auxetic,"tăng trưởng , tăng trưởng (chất) ","n,a","danh từ, tính từ"
488,auxiliary,"phụ trợ, phụ trợ (vật)","n,a","danh từ, tính từ"
489,auxiliomotor,"vận động phụ trợ , xúc tiến vận động ",a,tính từ
490,auxilytic," tăng dung giải, tăng tiêu hủy",a,tính từ
491,auxin,tăng trưởng tố,n,danh từ
492,auxoaction,kích hoạt (tác dụng ),n,danh từ
493,auxocardia,to tim,n,danh từ
494,auxocyte,"tế bào sinh dục, tế bào sinh trưởng",n,danh từ
495,auxogluc,tăng ngọt (nhóm),n,danh từ
496,auxospireme,bộ xoắn sinh trưởng,n,danh từ
497,auxotonic,căng do sinh trưởng,a,tính từ
498,auxotox,gây độc (nhóm),n,danh từ
499,auxotroph,"sinh vật khuyết dưỡng, sinh vật đặc dưỡng ",n,danh từ
500,auxotrophic,"dinh dưỡng thụ động, khuyết dưỡng",a,tính từ
501,avalvular,không có van,a,tính từ
502,avascular,vô mạch,a,tính từ
503,avascularization,vô mạch hóa,n,danh từ
504,Avena,yến mạch (cây),n,danh từ
505,avenin,avenin,n,danh từ
506,avenolith,sỏi ruột yến mạch (sỏi ruột bao quanh hạt yến mạch),n,danh từ
507,averaging,"ước lượng trung bình, ước lượng bình quân ",n,danh từ
508,avermectin,avermectin,n,danh từ
509,aversion,"ghê tởm, chán ngấy",n,danh từ
510,aversive,gây chán ngấy,a,tính từ
511,avian,chim th),a,tính từ
512,avidin,avidin,n,danh từ
513,avidity,"háu , ái lực",n,danh từ
514,avifauna,khu hệ chim,n,danh từ
515,avipoxvirus,virut đậu chim,n,danh từ
516,avivement,xén bờ,n,danh từ
518,avoidance,"tránh né , tránh đụng độ ",n,danh từ
519,avoidant,tránh né,a,tính từ
520,avoirdupois,avoirdupois (hệ thống cân lường Anh Mỹ),n,danh từ
